trade_id,strategy,open_madrid,close_madrid,duration_hours,direction,result,rr,entry_price,sl_price,exit_price,sl_size,sl_pct,exit_reason
212,V3-locked,2021-03-29 11:00:00+0200,2021-04-03 20:00:00+0200,129.0,Long,TP,0.85,57129.58,55854.55,58210.13,1275.03,2.2318,H1_EMA100
213,V3-locked,2021-04-05 16:30:00+0200,2021-04-06 16:00:00+0200,23.5,Long,SL,-1.0,58636.59,57746.74,57746.74,889.85,1.5176,STRUCTURAL_SL
214,V3-locked,2021-04-08 15:30:00+0200,2021-04-16 07:00:00+0200,183.5,Long,TP,3.71,57445.77,56311.77,61658.05,1134.0,1.974,H1_EMA100
215,V3-locked,2021-04-17 06:30:00+0200,2021-04-17 08:00:00+0200,1.5,Long,SL,-1.0,62234.11,61911.13,61911.13,322.98,0.519,STRUCTURAL_SL
216,V3-locked,2021-05-03 04:00:00+0200,2021-05-04 02:30:00+0200,22.5,Long,SL,-1.0,58042.83,56212.0,56212.0,1830.83,3.1543,STRUCTURAL_SL
217,V3-locked,2021-05-05 15:30:00+0200,2021-05-06 21:00:00+0200,29.5,Long,SL,-0.17,55903.0,55000.0,55753.57,903.0,1.6153,H1_EMA100
218,V3-locked,2021-05-07 15:30:00+0200,2021-05-09 15:00:00+0200,47.5,Long,SL,-0.78,57160.38,56228.24,56433.53,932.14,1.6307,H1_EMA100
219,V3-locked,2021-05-10 03:30:00+0200,2021-05-10 11:30:00+0200,8.0,Long,SL,-1.0,58683.04,58009.96,58009.96,673.08,1.147,STRUCTURAL_SL
220,V3-locked,2021-05-11 22:30:00+0200,2021-05-12 00:00:00+0200,1.5,Long,SL,-0.45,56726.95,56249.38,56510.26,477.57,0.8419,H1_EMA100
221,V3-locked,2021-05-12 16:00:00+0200,2021-05-12 17:00:00+0200,1.0,Long,SL,-0.65,56760.1,55700.0,56073.03,1060.1,1.8677,H1_EMA100
222,V3-locked,2021-07-27 14:30:00+0200,2021-07-30 14:00:00+0200,71.5,Long,TP,0.76,37996.73,37144.0,38642.46,852.73,2.2442,H1_EMA100
223,V3-locked,2021-07-30 23:30:00+0200,2021-08-02 01:00:00+0200,49.5,Long,SL,-0.33,40873.43,39058.96,40268.63,1814.47,4.4392,H1_EMA100
224,V3-locked,2021-08-04 16:30:00+0200,2021-08-05 09:00:00+0200,16.5,Long,SL,-0.01,39097.91,37508.56,39088.18,1589.35,4.0651,H1_EMA100
225,V3-locked,2021-08-05 19:30:00+0200,2021-08-12 14:00:00+0200,162.5,Long,TP,2.78,40185.69,38545.59,44752.56,1640.1,4.0813,H1_EMA100
226,V3-locked,2021-08-13 10:30:00+0200,2021-08-15 10:00:00+0200,47.5,Long,SL,-0.17,46061.18,44217.39,45742.92,1843.79,4.0029,H1_EMA100
227,V3-locked,2021-08-16 01:00:00+0200,2021-08-16 16:00:00+0200,15.0,Long,SL,-0.68,47210.67,46070.52,46440.28,1140.15,2.415,H1_EMA100
228,V3-locked,2021-08-17 14:30:00+0200,2021-08-17 15:00:00+0200,0.5,Long,SL,-1.0,47013.09,46586.97,46586.97,426.12,0.9064,STRUCTURAL_SL
229,V3-locked,2021-08-18 20:00:00+0200,2021-08-18 20:30:00+0200,0.5,Long,SL,-1.0,45813.9,45593.22,45593.22,220.68,0.4817,STRUCTURAL_SL
230,V3-locked,2021-08-19 18:00:00+0200,2021-08-24 16:00:00+0200,118.0,Long,TP,2.03,45779.59,44391.55,48597.19,1388.04,3.032,H1_EMA100
231,V3-locked,2021-08-25 20:30:00+0200,2021-08-26 05:00:00+0200,8.5,Long,SL,-1.0,48884.68,48507.71,48507.71,376.97,0.7711,STRUCTURAL_SL
232,V3-locked,2021-08-29 22:00:00+0200,2021-08-29 23:30:00+0200,1.5,Long,SL,-1.0,48799.28,48688.48,48688.48,110.8,0.2271,STRUCTURAL_SL
233,V3-locked,2021-08-30 23:00:00+0200,2021-08-30 23:30:00+0200,0.5,Long,SL,-1.0,48622.06,48350.0,48350.0,272.06,0.5595,STRUCTURAL_SL
234,V3-locked,2021-09-01 13:00:00+0200,2021-09-01 14:00:00+0200,1.0,Long,TP,0.46,47515.73,47090.31,47713.31,425.42,0.8953,H1_EMA100
235,V3-locked,2021-09-03 07:00:00+0200,2021-09-07 12:00:00+0200,101.0,Long,TP,0.83,49707.19,48316.84,50860.5,1390.35,2.7971,H1_EMA100
236,V3-locked,2021-09-17 06:00:00+0200,2021-09-17 09:30:00+0200,3.5,Long,SL,-1.0,47899.83,47715.35,47715.35,184.48,0.3851,STRUCTURAL_SL
237,V3-locked,2021-09-18 06:30:00+0200,2021-09-19 14:00:00+0200,31.5,Long,SL,-0.73,48106.99,47035.56,47327.73,1071.43,2.2272,H1_EMA100
238,V3-locked,2021-10-04 19:00:00+0200,2021-10-12 21:00:00+0200,194.0,Long,TP,4.11,48589.99,46891.0,55575.27,1698.99,3.4966,H1_EMA100
239,V3-locked,2021-10-13 20:00:00+0200,2021-10-17 23:00:00+0200,99.0,Long,TP,2.95,56891.11,56039.78,59401.12,851.33,1.4964,H1_EMA100
240,V3-locked,2021-10-18 02:30:00+0200,2021-10-18 11:30:00+0200,9.0,Long,SL,-1.0,61954.0,61166.07,61166.07,787.93,1.2718,STRUCTURAL_SL
241,V3-locked,2021-10-25 03:00:00+0200,2021-10-26 17:00:00+0200,38.0,Long,TP,0.1,61813.4,60650.0,61926.35,1163.4,1.8821,H1_EMA100
242,V3-locked,2021-10-28 12:00:00+0200,2021-10-28 20:30:00+0200,8.5,Long,SL,-1.0,61049.58,60387.66,60387.66,661.92,1.0842,STRUCTURAL_SL
243,V3-locked,2021-10-30 15:30:00+0200,2021-10-30 16:00:00+0200,0.5,Long,SL,-1.0,61700.0,61305.0,61305.0,395.0,0.6402,STRUCTURAL_SL
244,V3-locked,2021-10-31 02:30:00+0200,2021-10-31 06:00:00+0100,4.5,Long,SL,-1.0,62246.3,61175.01,61175.01,1071.29,1.7211,STRUCTURAL_SL
245,V3-locked,2021-11-01 02:00:00+0100,2021-11-01 03:00:00+0100,1.0,Long,SL,-1.0,61560.49,61115.33,61115.33,445.16,0.7231,STRUCTURAL_SL
246,V3-locked,2021-11-01 09:30:00+0100,2021-11-01 18:00:00+0100,8.5,Long,SL,-0.57,62045.87,60284.0,61034.83,1761.87,2.8396,H1_EMA100
247,V3-locked,2021-11-02 07:00:00+0100,2021-11-03 15:00:00+0100,32.0,Long,TP,0.07,61754.25,60770.82,61821.07,983.43,1.5925,H1_EMA100
248,V3-locked,2021-11-04 00:00:00+0100,2021-11-04 02:00:00+0100,2.0,Long,SL,-1.0,62794.49,62555.0,62555.0,239.49,0.3814,STRUCTURAL_SL
249,V3-locked,2021-11-05 07:30:00+0100,2021-11-05 10:00:00+0100,2.5,Long,SL,-1.0,62447.09,61880.88,61880.88,566.21,0.9067,STRUCTURAL_SL
250,V3-locked,2021-11-07 00:00:00+0100,2021-11-10 23:00:00+0100,95.0,Long,TP,11.62,61361.41,61112.68,64251.23,248.73,0.4054,H1_EMA100
251,V3-locked,2021-11-13 17:00:00+0100,2021-11-13 20:00:00+0100,3.0,Long,SL,-0.44,64689.0,63427.86,64134.69,1261.14,1.9495,H1_EMA100
252,V3-locked,2021-11-15 01:00:00+0100,2021-11-15 16:30:00+0100,15.5,Long,SL,-1.0,65519.11,64341.77,64341.77,1177.34,1.7969,STRUCTURAL_SL
253,V3-locked,2021-12-25 22:30:00+0100,2021-12-25 23:00:00+0100,0.5,Long,SL,-1.0,50999.13,50732.58,50732.58,266.55,0.5227,STRUCTURAL_SL
254,V3-locked,2021-12-26 23:30:00+0100,2021-12-28 02:00:00+0100,26.5,Long,SL,-0.53,50848.36,49914.73,50350.23,933.63,1.8361,H1_EMA100
255,V3-locked,2022-02-08 23:30:00+0100,2022-02-11 01:30:00+0100,50.0,Long,SL,-1.0,44052.83,42700.0,42700.0,1352.83,3.0709,STRUCTURAL_SL
256,V3-locked,2022-02-14 14:30:00+0100,2022-02-14 16:00:00+0100,1.5,Long,SL,-0.15,42620.4,41961.13,42519.99,659.27,1.5468,H1_EMA100
257,V3-locked,2022-02-16 21:30:00+0100,2022-02-17 05:00:00+0100,7.5,Long,SL,-1.0,44229.91,43506.64,43506.64,723.27,1.6353,STRUCTURAL_SL
258,V3-locked,2022-03-18 17:30:00+0100,2022-03-20 19:00:00+0100,49.5,Long,SL,-0.34,41339.94,40442.0,41033.01,897.94,2.1721,H1_EMA100
259,V3-locked,2022-03-22 04:00:00+0100,2022-03-31 17:00:00+0200,228.0,Long,TP,6.02,41841.09,41035.2,46690.48,805.89,1.9261,H1_EMA100
260,V3-locked,2022-04-01 19:30:00+0200,2022-04-01 23:00:00+0200,3.5,Long,SL,-0.09,46280.0,44701.01,46145.38,1578.99,3.4118,H1_EMA100
261,V3-locked,2022-04-03 11:30:00+0200,2022-04-03 12:30:00+0200,1.0,Long,SL,-1.0,46356.49,46168.92,46168.92,187.57,0.4046,STRUCTURAL_SL
262,V3-locked,2022-04-05 01:00:00+0200,2022-04-05 15:00:00+0200,14.0,Long,SL,-1.0,46666.67,46372.05,46372.05,294.62,0.6313,STRUCTURAL_SL
263,V3-locked,2022-06-03 01:00:00+0200,2022-06-03 03:00:00+0200,2.0,Long,SL,-0.33,30482.95,30235.7,30401.53,247.25,0.8111,H1_EMA100
264,V3-locked,2022-06-07 22:30:00+0200,2022-06-08 05:30:00+0200,7.0,Long,SL,-1.0,31347.74,30131.88,30131.88,1215.86,3.8786,STRUCTURAL_SL
265,V3-locked,2022-06-09 11:30:00+0200,2022-06-09 13:30:00+0200,2.0,Long,SL,-1.0,30584.25,30360.27,30360.27,223.98,0.7323,STRUCTURAL_SL
266,V3-locked,2022-07-09 17:30:00+0200,2022-07-10 02:00:00+0200,8.5,Long,SL,-1.0,21642.86,21517.16,21517.16,125.7,0.5808,STRUCTURAL_SL
267,V3-locked,2022-07-18 07:30:00+0200,2022-07-22 22:00:00+0200,110.5,Long,TP,2.9,21591.2,21248.54,22586.26,342.66,1.587,H1_EMA100
268,V3-locked,2022-07-24 09:30:00+0200,2022-07-24 12:00:00+0200,2.5,Long,SL,-0.25,22737.0,22257.15,22617.09,479.85,2.1104,H1_EMA100
269,V3-locked,2022-08-02 20:30:00+0200,2022-08-02 22:00:00+0200,1.5,Long,SL,-0.6,23170.73,22806.52,22951.21,364.21,1.5719,H1_EMA100
270,V3-locked,2022-08-03 11:00:00+0200,2022-08-04 00:30:00+0200,13.5,Long,SL,-1.0,23293.27,22954.0,22954.0,339.27,1.4565,STRUCTURAL_SL
271,V3-locked,2022-08-05 07:00:00+0200,2022-08-05 15:00:00+0200,8.0,Long,SL,-0.25,23152.02,22612.42,23018.93,539.6,2.3307,H1_EMA100
272,V3-locked,2022-08-07 19:30:00+0200,2022-08-08 01:00:00+0200,5.5,Long,SL,-1.0,23217.73,23082.76,23082.76,134.97,0.5813,STRUCTURAL_SL
273,V3-locked,2022-08-10 15:30:00+0200,2022-08-12 13:00:00+0200,45.5,Long,SL,-0.34,24134.99,23004.58,23747.98,1130.41,4.6837,H1_EMA100
274,V3-locked,2022-08-12 23:00:00+0200,2022-08-14 20:00:00+0200,45.0,Long,TP,0.01,24225.2,24048.29,24226.46,176.91,0.7303,H1_EMA100
275,V3-locked,2022-08-15 05:00:00+0200,2022-08-15 08:30:00+0200,3.5,Long,SL,-1.0,24918.29,24330.96,24330.96,587.33,2.357,STRUCTURAL_SL
276,V3-locked,2022-08-17 08:00:00+0200,2022-08-17 09:00:00+0200,1.0,Long,SL,-1.0,24165.26,23996.88,23996.88,168.38,0.6968,STRUCTURAL_SL
277,V3-locked,2022-10-05 19:00:00+0200,2022-10-07 00:00:00+0200,29.0,Long,SL,-0.64,20231.58,19730.0,19909.36,501.58,2.4792,H1_EMA100
278,V3-locked,2022-10-27 21:30:00+0200,2022-10-27 22:00:00+0200,0.5,Long,SL,-1.0,20650.78,20550.0,20550.0,100.78,0.488,STRUCTURAL_SL
279,V3-locked,2022-10-28 19:00:00+0200,2022-10-31 02:00:00+0100,56.0,Long,SL,-0.55,20703.85,20411.03,20542.43,292.82,1.4143,H1_EMA100
