trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
417,EMA-Cross-H4F,19/04/2025,04:00,BTC,Long,SL,-0.63,29h,415.0,H1_EMA100
418,EMA-Cross-H4F,21/04/2025,00:00,BTC,Long,TP,15.97,169h,515.0,H1_EMA100
419,EMA-Cross-H4F,28/04/2025,07:30,BTC,Long,SL,-1.0,6h,707.0,STRUCTURAL_SL
420,EMA-Cross-H4F,28/04/2025,19:30,BTC,Long,SL,-0.58,27h,893.0,H1_EMA100
421,EMA-Cross-H4F,30/04/2025,06:00,BTC,Long,SL,-1.0,6h,440.0,STRUCTURAL_SL
422,EMA-Cross-H4F,01/05/2025,03:30,BTC,Long,TP,3.33,68h,326.0,H1_EMA100
423,EMA-Cross-H4F,06/05/2025,19:00,BTC,Long,SL,-0.68,2h,577.0,H1_EMA100
424,EMA-Cross-H4F,13/05/2025,12:30,BTC,Long,SL,-0.5,37h,1022.0,H1_EMA100
425,EMA-Cross-H4F,15/05/2025,18:30,BTC,Long,SL,-1.0,0h,423.0,STRUCTURAL_SL
426,EMA-Cross-H4F,15/05/2025,20:00,BTC,Long,SL,-0.59,30h,586.0,H1_EMA100
427,EMA-Cross-H4F,18/05/2025,05:30,BTC,Long,TP,0.64,22h,298.0,H1_EMA100
428,EMA-Cross-H4F,19/05/2025,17:00,BTC,Long,TP,0.95,92h,3197.0,H1_EMA100
429,EMA-Cross-H4F,24/05/2025,20:00,BTC,Long,SL,-1.0,1h,193.0,STRUCTURAL_SL
430,EMA-Cross-H4F,26/05/2025,00:00,BTC,Long,SL,-0.36,26h,1887.0,H1_EMA100
431,EMA-Cross-H4F,27/05/2025,09:00,BTC,Long,SL,-1.0,5h,875.0,STRUCTURAL_SL
432,EMA-Cross-H4F,29/05/2025,11:00,BTC,Long,SL,-1.0,1h,333.0,STRUCTURAL_SL
433,EMA-Cross-H4F,09/06/2025,09:30,BTC,Long,TP,2.46,66h,683.0,H1_EMA100
434,EMA-Cross-H4F,28/06/2025,04:00,BTC,Long,SL,-1.0,58h,216.0,STRUCTURAL_SL
435,EMA-Cross-H4F,02/07/2025,08:30,BTC,Long,TP,0.46,53h,778.0,H1_EMA100
436,EMA-Cross-H4F,06/07/2025,14:00,BTC,Long,SL,-0.52,23h,1003.0,H1_EMA100
437,EMA-Cross-H4F,08/07/2025,11:00,BTC,Long,SL,-0.75,4h,594.0,H1_EMA100
438,EMA-Cross-H4F,13/07/2025,02:00,BTC,Long,SL,-1.0,49h,298.0,STRUCTURAL_SL
439,EMA-Cross-H4F,16/07/2025,07:30,BTC,Long,SL,-1.0,18h,479.0,STRUCTURAL_SL
440,EMA-Cross-H4F,17/07/2025,18:00,BTC,Long,SL,-1.0,20h,892.0,STRUCTURAL_SL
441,EMA-Cross-H4F,20/07/2025,14:30,BTC,Long,SL,-0.71,3h,899.0,H1_EMA100
442,EMA-Cross-H4F,21/07/2025,06:00,BTC,Long,SL,-1.0,5h,254.0,STRUCTURAL_SL
443,EMA-Cross-H4F,22/07/2025,10:30,BTC,Long,SL,-1.0,3h,668.0,STRUCTURAL_SL
444,EMA-Cross-H4F,24/07/2025,01:30,BTC,Long,SL,-1.0,2h,550.0,STRUCTURAL_SL
445,EMA-Cross-H4F,24/07/2025,13:00,BTC,Long,SL,-0.5,1h,531.0,H1_EMA100
446,EMA-Cross-H4F,24/07/2025,15:00,BTC,Long,SL,-0.66,8h,1218.0,H1_EMA100
447,EMA-Cross-H4F,29/07/2025,07:30,BTC,Long,SL,-1.0,3h,393.0,STRUCTURAL_SL
448,EMA-Cross-H4F,30/07/2025,09:30,BTC,Long,SL,-1.0,1h,155.0,STRUCTURAL_SL
449,EMA-Cross-H4F,09/08/2025,05:30,BTC,Long,TP,3.46,127h,567.0,H1_EMA100
450,EMA-Cross-H4F,05/09/2025,20:00,BTC,Long,SL,-0.72,2h,1400.0,H1_EMA100
451,EMA-Cross-H4F,10/09/2025,08:30,BTC,Long,TP,1.63,120h,1289.0,H1_EMA100
452,EMA-Cross-H4F,16/09/2025,06:00,BTC,Long,SL,-1.0,7h,979.0,STRUCTURAL_SL
453,EMA-Cross-H4F,16/09/2025,16:00,BTC,Long,SL,-0.33,23h,894.0,H1_EMA100
454,EMA-Cross-H4F,18/09/2025,02:00,BTC,Long,SL,-0.44,34h,558.0,H1_EMA100
455,EMA-Cross-H4F,30/09/2025,19:30,BTC,Long,TP,11.38,163h,780.0,H1_EMA100
456,EMA-Cross-H4F,08/10/2025,17:30,BTC,Long,SL,-0.68,8h,1853.0,H1_EMA100
457,EMA-Cross-H4F,28/10/2025,14:00,BTC,Long,SL,-1.0,5h,1364.0,STRUCTURAL_SL
458,EMA-Cross-H4F,30/11/2025,04:30,BTC,Long,SL,-1.0,19h,393.0,STRUCTURAL_SL
459,EMA-Cross-H4F,09/12/2025,16:00,BTC,Long,SL,-0.48,33h,2690.0,H1_EMA100
460,EMA-Cross-H4F,11/12/2025,22:00,BTC,Long,SL,-1.0,17h,2107.0,STRUCTURAL_SL
461,EMA-Cross-H4F,09/01/2026,17:00,BTC,Long,SL,-0.45,2h,1775.0,H1_EMA100
462,EMA-Cross-H4F,12/01/2026,16:30,BTC,Long,TP,1.14,95h,2123.0,H1_EMA100
463,EMA-Cross-H4F,17/01/2026,16:30,BTC,Long,SL,-1.0,5h,254.0,STRUCTURAL_SL
464,EMA-Cross-H4F,18/01/2026,19:30,BTC,Long,SL,-1.0,3h,385.0,STRUCTURAL_SL
465,EMA-Cross-H4F,03/03/2026,18:30,BTC,Long,TP,0.63,66h,2329.0,H1_EMA100
466,EMA-Cross-H4F,11/03/2026,15:00,BTC,Long,SL,-0.91,12h,1430.0,H1_EMA100
467,EMA-Cross-H4F,12/03/2026,12:00,BTC,Long,SL,-1.0,2h,845.0,STRUCTURAL_SL
468,EMA-Cross-H4F,15/03/2026,02:30,BTC,Long,TP,4.09,81h,411.0,H1_EMA100
469,EMA-Cross-H4F,07/04/2026,21:30,BTC,Long,TP,5.0,100h,418.0,H1_EMA100
470,EMA-Cross-H4F,13/04/2026,15:30,BTC,Long,TP,5.89,135h,570.0,H1_EMA100
471,EMA-Cross-H4F,20/04/2026,13:30,BTC,Long,SL,-1.0,1h,225.0,STRUCTURAL_SL
472,EMA-Cross-H4F,22/04/2026,01:00,BTC,Long,TP,0.9,70h,1073.0,H1_EMA100
473,EMA-Cross-H4F,26/04/2026,05:30,BTC,Long,SL,-0.41,24h,775.0,H1_EMA100
474,EMA-Cross-H4F,29/04/2026,05:30,BTC,Long,SL,-0.29,1h,864.0,H1_EMA100
475,EMA-Cross-H4F,11/05/2026,12:30,BTC,Long,SL,-1.0,1h,396.0,STRUCTURAL_SL
