trade_id,strategy,open_madrid,close_madrid,duration_hours,direction,result,rr,entry_price,sl_price,exit_price,sl_size,sl_pct,exit_reason
78,EMS-r2-h4ema100,2019-02-15 06:00:00+0100,2019-02-15 11:00:00+0100,5.0,Long,SL,-0.81,3619.64,3600.01,3603.67,19.63,0.5423,H1_EMA100
79,EMS-r2-h4ema100,2019-02-16 04:00:00+0100,2019-02-17 14:00:00+0100,34.0,Long,TP,0.12,3612.19,3604.87,3613.07,7.32,0.2026,H1_EMA100
80,EMS-r2-h4ema100,2019-02-18 00:00:00+0100,2019-02-21 11:00:00+0100,83.0,Long,TP,15.66,3641.25,3623.27,3922.78,17.98,0.4938,H1_EMA100
81,EMS-r2-h4ema100,2019-02-22 04:00:00+0100,2019-02-22 08:00:00+0100,4.0,Long,SL,-1.0,3957.14,3931.4,3931.4,25.74,0.6505,STRUCTURAL_SL
82,EMS-r2-h4ema100,2019-02-23 18:30:00+0100,2019-02-24 15:00:00+0100,20.5,Long,SL,-1.0,4010.64,3933.45,3933.45,77.19,1.9246,STRUCTURAL_SL
83,EMS-r2-h4ema100,2019-03-03 03:30:00+0100,2019-03-03 06:00:00+0100,2.5,Long,SL,-0.4,3827.27,3813.47,3821.78,13.8,0.3606,H1_EMA100
84,EMS-r2-h4ema100,2019-03-09 08:30:00+0100,2019-03-10 08:00:00+0100,23.5,Long,SL,-0.6,3929.77,3877.65,3898.74,52.12,1.3263,H1_EMA100
85,EMS-r2-h4ema100,2019-03-11 00:00:00+0100,2019-03-11 05:30:00+0100,5.5,Long,SL,-1.0,3919.18,3913.18,3913.18,6.0,0.1531,STRUCTURAL_SL
86,EMS-r2-h4ema100,2019-03-12 14:30:00+0100,2019-03-12 16:30:00+0100,2.0,Long,SL,-1.0,3892.94,3883.0,3883.0,9.94,0.2553,STRUCTURAL_SL
87,EMS-r2-h4ema100,2019-03-13 05:00:00+0100,2019-03-13 06:00:00+0100,1.0,Long,SL,-0.53,3887.89,3875.0,3881.0,12.89,0.3315,H1_EMA100
88,EMS-r2-h4ema100,2019-03-14 17:30:00+0100,2019-03-18 07:00:00+0100,85.5,Long,TP,1.17,3881.0,3810.43,3963.68,70.57,1.8183,H1_EMA100
89,EMS-r2-h4ema100,2019-03-19 01:30:00+0100,2019-03-19 05:00:00+0100,3.5,Long,SL,-1.0,3991.11,3982.04,3982.04,9.07,0.2273,STRUCTURAL_SL
90,EMS-r2-h4ema100,2019-03-19 11:30:00+0100,2019-03-19 14:00:00+0100,2.5,Long,SL,-0.51,3992.92,3974.43,3983.57,18.49,0.4631,H1_EMA100
91,EMS-r2-h4ema100,2019-03-22 20:30:00+0100,2019-03-22 21:00:00+0100,0.5,Long,SL,-1.0,3997.51,3990.03,3990.03,7.48,0.1871,STRUCTURAL_SL
92,EMS-r2-h4ema100,2019-03-23 04:30:00+0100,2019-03-23 06:00:00+0100,1.5,Long,SL,-0.45,4000.74,3986.5,3994.36,14.24,0.3559,H1_EMA100
93,EMS-r2-h4ema100,2019-03-23 17:00:00+0100,2019-03-23 18:00:00+0100,1.0,Long,SL,-0.55,4001.5,3981.5,3990.52,20.0,0.4998,H1_EMA100
94,EMS-r2-h4ema100,2019-03-24 01:00:00+0100,2019-03-24 02:30:00+0100,1.5,Long,SL,-1.0,4006.01,3993.01,3993.01,13.0,0.3245,STRUCTURAL_SL
95,EMS-r2-h4ema100,2019-03-25 05:00:00+0100,2019-03-25 05:30:00+0100,0.5,Long,SL,-1.0,3995.93,3988.36,3988.36,7.57,0.1894,STRUCTURAL_SL
96,EMS-r2-h4ema100,2019-03-27 02:30:00+0100,2019-04-04 20:00:00+0200,208.5,Long,TP,20.29,3979.98,3936.15,4869.24,43.83,1.1013,H1_EMA100
97,EMS-r2-h4ema100,2019-04-05 10:30:00+0200,2019-04-08 14:00:00+0200,75.5,Long,TP,1.0,4963.22,4880.62,5046.16,82.6,1.6642,H1_EMA100
98,EMS-r2-h4ema100,2019-04-08 17:00:00+0200,2019-04-09 07:00:00+0200,14.0,Long,SL,-0.46,5189.06,5106.21,5150.63,82.85,1.5966,H1_EMA100
99,EMS-r2-h4ema100,2019-04-09 22:30:00+0200,2019-04-10 00:00:00+0200,1.5,Long,SL,-1.0,5180.28,5156.0,5156.0,24.28,0.4687,STRUCTURAL_SL
100,EMS-r2-h4ema100,2019-04-10 03:30:00+0200,2019-04-11 05:30:00+0200,26.0,Long,SL,-1.0,5181.47,5158.46,5158.46,23.01,0.4441,STRUCTURAL_SL
101,EMS-r2-h4ema100,2019-04-13 17:00:00+0200,2019-04-13 18:00:00+0200,1.0,Long,SL,-0.32,5064.0,5025.0,5051.65,39.0,0.7701,H1_EMA100
102,EMS-r2-h4ema100,2019-04-14 16:30:00+0200,2019-04-15 19:30:00+0200,27.0,Long,SL,-1.0,5052.45,5034.45,5034.45,18.0,0.3563,STRUCTURAL_SL
103,EMS-r2-h4ema100,2019-04-16 19:30:00+0200,2019-04-19 04:00:00+0200,56.5,Long,TP,0.43,5154.2,5060.0,5194.51,94.2,1.8276,H1_EMA100
104,EMS-r2-h4ema100,2019-04-19 13:30:00+0200,2019-04-19 14:30:00+0200,1.0,Long,SL,-1.0,5248.91,5221.0,5221.0,27.91,0.5317,STRUCTURAL_SL
105,EMS-r2-h4ema100,2019-04-22 12:00:00+0200,2019-04-24 10:00:00+0200,46.0,Long,TP,5.88,5266.4,5240.0,5421.59,26.4,0.5013,H1_EMA100
106,EMS-r2-h4ema100,2019-04-25 19:00:00+0200,2019-04-25 23:30:00+0200,4.5,Long,SL,-1.0,5458.22,5425.94,5425.94,32.28,0.5914,STRUCTURAL_SL
107,EMS-r2-h4ema100,2019-04-27 22:00:00+0200,2019-04-28 01:30:00+0200,3.5,Long,SL,-1.0,5328.9,5297.8,5297.8,31.1,0.5836,STRUCTURAL_SL
108,EMS-r2-h4ema100,2019-04-29 04:00:00+0200,2019-04-29 10:00:00+0200,6.0,Long,SL,-0.76,5318.1,5296.16,5301.46,21.94,0.4126,H1_EMA100
109,EMS-r2-h4ema100,2019-04-30 15:30:00+0200,2019-05-04 16:00:00+0200,96.5,Long,TP,5.82,5310.01,5254.68,5631.99,55.33,1.042,H1_EMA100
110,EMS-r2-h4ema100,2019-05-05 01:00:00+0200,2019-05-05 02:00:00+0200,1.0,Long,SL,-1.0,5861.87,5786.42,5786.42,75.45,1.2871,STRUCTURAL_SL
111,EMS-r2-h4ema100,2019-05-05 22:30:00+0200,2019-05-06 02:30:00+0200,4.0,Long,SL,-1.0,5798.99,5760.0,5760.0,38.99,0.6724,STRUCTURAL_SL
112,EMS-r2-h4ema100,2019-05-06 20:30:00+0200,2019-05-08 02:00:00+0200,29.5,Long,TP,1.32,5767.69,5708.0,5846.34,59.69,1.0349,H1_EMA100
113,EMS-r2-h4ema100,2019-05-12 23:00:00+0200,2019-05-13 00:00:00+0200,1.0,Long,SL,-1.0,7159.81,6957.26,6957.26,202.55,2.829,STRUCTURAL_SL
114,EMS-r2-h4ema100,2019-05-13 07:30:00+0200,2019-05-13 09:30:00+0200,2.0,Long,SL,-1.0,7112.31,7012.62,7012.62,99.69,1.4017,STRUCTURAL_SL
115,EMS-r2-h4ema100,2019-05-13 12:00:00+0200,2019-05-16 13:00:00+0200,73.0,Long,TP,8.97,7072.46,6983.91,7867.14,88.55,1.252,H1_EMA100
116,EMS-r2-h4ema100,2019-05-21 00:30:00+0200,2019-05-21 13:30:00+0200,13.0,Long,SL,-1.0,8000.44,7778.0,7778.0,222.44,2.7803,STRUCTURAL_SL
117,EMS-r2-h4ema100,2019-05-23 22:00:00+0200,2019-05-26 06:00:00+0200,56.0,Long,TP,3.6,7759.16,7702.0,7965.0,57.16,0.7367,H1_EMA100
118,EMS-r2-h4ema100,2019-05-26 21:30:00+0200,2019-05-29 07:00:00+0200,57.5,Long,TP,2.02,8161.52,7957.76,8572.45,203.76,2.4966,H1_EMA100
119,EMS-r2-h4ema100,2019-05-29 17:30:00+0200,2019-05-29 22:30:00+0200,5.0,Long,SL,-1.0,8700.54,8609.47,8609.47,91.07,1.0467,STRUCTURAL_SL
120,EMS-r2-h4ema100,2019-05-30 03:00:00+0200,2019-05-30 03:30:00+0200,0.5,Long,SL,-1.0,8672.08,8590.0,8590.0,82.08,0.9465,STRUCTURAL_SL
121,EMS-r2-h4ema100,2019-05-30 08:00:00+0200,2019-05-30 18:00:00+0200,10.0,Long,SL,-1.0,8705.01,8653.74,8653.74,51.27,0.589,STRUCTURAL_SL
122,EMS-r2-h4ema100,2019-05-31 23:30:00+0200,2019-06-01 08:00:00+0200,8.5,Long,SL,-0.48,8528.27,8420.03,8476.28,108.24,1.2692,H1_EMA100
123,EMS-r2-h4ema100,2019-06-19 08:30:00+0200,2019-06-19 09:00:00+0200,0.5,Long,SL,-1.0,9155.0,9127.21,9127.21,27.79,0.3035,STRUCTURAL_SL
